202012-06-20 11:34:29,458 | INFO  | NioProcessor-1   | ServerSession                    | 22 - sshd-core - 0.5.0 | Session created...
2012-06-20 11:36:10,101 | WARN  | Thread-22        | BndUtils                         | 1 - org.ops4j.pax.url.wrap - 1.2.8 | Bundle cannot be generated
2012-06-20 11:36:10,405 | WARN  | Thread-23        | BndUtils                         | 1 - org.ops4j.pax.url.wrap - 1.2.8 | Bundle cannot be generated
2012-06-20 11:36:10,737 | WARN  | Thread-24        | BndUtils                         | 1 - org.ops4j.pax.url.wrap - 1.2.8 | Bundle cannot be generated
2012-06-20 11:36:11,041 | WARN  | Thread-25        | BndUtils                         | 1 - org.ops4j.pax.url.wrap - 1.2.8 | Bundle cannot be generated
2012-06-20 11:36:11,237 | WARN  | Thread-26        | BndUtils                         | 1 - org.ops4j.pax.url.wrap - 1.2.8 | Bundle cannot be generated
2012-06-20 11:36:11,514 | WARN  | Thread-27        | BndUtils                         | 1 - org.ops4j.pax.url.wrap - 1.2.8 | Bundle cannot be generated
2012-06-20 11:36:12,625 | INFO  | elixPackageAdmin | KarArtifactInstaller             | 27 - org.apache.karaf.deployer.kar - 2.2.7 | Karaf archive installer destroyed.
2012-06-20 11:36:12,646 | INFO  | rint Extender: 1 | BlueprintContainerImpl           | 10 - org.apache.aries.blueprint - 0.3.1 | Bundle org.apache.karaf.jaas.modules is waiting for namespace handlers 
2012-06-20 11:36:12,653 | INFO  | rint Extender: 3 | BlueprintContainerImpl           | 10 - org.apache.aries.blueprint - 0.3.1 | Bundle org.apache.karaf.shell.ssh is waiting for namespace handlers 
2012-06-20 11:36:12,655 | INFO  | JMX OSGi Agent   | core                             | 14 - org.apache.aries.jmx.core - 0.3.0 | Unregistering org.osgi.jmx.service.cm.ConfigurationAdminMBean to MBeanServer com.sun.jmx.mbeanserver.JmxMBeanServer@330e3816 with name osgi.compendium:service=cm,version=1.3
2012-06-20 11:36:12,655 | INFO  | JMX OSGi Agent   | core                             | 14 - org.apache.aries.jmx.core - 0.3.0 | Unregistering org.osgi.jmx.framework.ServiceStateMBean to MBeanServer com.sun.jmx.mbeanserver.JmxMBeanServer@330e3816 with name osgi.core:type=serviceState,version=1.5
2012-06-20 11:36:12,655 | INFO  | JMX OSGi Agent   | core                             | 14 - org.apache.aries.jmx.core - 0.3.0 | Unregistering org.osgi.jmx.framework.FrameworkMBean to MBeanServer com.sun.jmx.mbeanserver.JmxMBeanServer@330e3816 with name osgi.core:type=framework,version=1.5
2012-06-20 11:36:12,655 | INFO  | JMX OSGi Agent   | core                             | 14 - org.apache.aries.jmx.core - 0.3.0 | Unregistering org.osgi.jmx.framework.BundleStateMBean to MBeanServer com.sun.jmx.mbeanserver.JmxMBeanServer@330e3816 with name osgi.core:type=bundleState,version=1.5
2012-06-20 11:36:12,655 | INFO  | JMX OSGi Agent   | core                             | 14 - org.apache.aries.jmx.core - 0.3.0 | Unregistering org.osgi.jmx.framework.PackageStateMBean to MBeanServer com.sun.jmx.mbeanserver.JmxMBeanServer@330e3816 with name osgi.core:type=packageState,version=1.5
2012-06-20 11:36:12,666 | INFO  | rint Extender: 1 | BlueprintContainerImpl           | 10 - org.apache.aries.blueprint - 0.3.1 | Bundle org.apache.karaf.management.server is waiting for namespace handlers 
2012-06-20 11:36:12,669 | INFO  | rint Extender: 3 | BlueprintContainerImpl           | 10 - org.apache.aries.blueprint - 0.3.1 | Bundle org.apache.karaf.shell.log is waiting for namespace handlers 
2012-06-20 11:36:12,682 | INFO  | rint Extender: 1 | BlueprintContainerImpl           | 10 - org.apache.aries.blueprint - 0.3.1 | Bundle org.apache.karaf.shell.packages is waiting for namespace handlers 
2012-06-20 11:36:12,685 | INFO  | rint Extender: 3 | BlueprintContainerImpl           | 10 - org.apache.aries.blueprint - 0.3.1 | Bundle org.apache.karaf.jaas.command is waiting for namespace handlers 
2012-06-20 11:36:12,686 | INFO  | rint Extender: 1 | BlueprintContainerImpl           | 10 - org.apache.aries.blueprint - 0.3.1 | Bundle org.apache.karaf.shell.ssh is waiting for namespace handlers 
2012-06-20 11:36:12,686 | INFO  | rint Extender: 3 | BlueprintContainerImpl           | 10 - org.apache.aries.blueprint - 0.3.1 | Bundle org.apache.karaf.diagnostic.command is waiting for namespace handlers 
2012-06-20 11:36:12,701 | INFO  | rint Extender: 1 | BlueprintContainerImpl           | 10 - org.apache.aries.blueprint - 0.3.1 | Bundle org.apache.karaf.shell.commands is waiting for namespace handlers 
2012-06-20 11:36:12,701 | INFO  | rint Extender: 3 | BlueprintContainerImpl           | 10 - org.apache.aries.blueprint - 0.3.1 | Bundle org.apache.karaf.shell.log is waiting for namespace handlers 
2012-06-20 11:36:12,713 | INFO  | rint Extender: 1 | BlueprintContainerImpl           | 10 - org.apache.aries.blueprint - 0.3.1 | Bundle org.apache.karaf.shell.osgi is waiting for namespace handlers 
2012-06-20 11:36:12,715 | INFO  | rint Extender: 3 | BlueprintContainerImpl           | 10 - org.apache.aries.blueprint - 0.3.1 | Bundle org.apache.karaf.shell.dev is waiting for namespace handlers 
2012-06-20 11:36:12,715 | INFO  | rint Extender: 2 | BlueprintContainerImpl           | 10 - org.apache.aries.blueprint - 0.3.1 | Bundle org.apache.karaf.shell.console is waiting for namespace handlers 
2012-06-20 11:36:12,715 | INFO  | rint Extender: 1 | BlueprintContainerImpl           | 10 - org.apache.aries.blueprint - 0.3.1 | Bundle org.apache.karaf.jaas.modules is waiting for namespace handlers 
2012-06-20 11:36:12,743 | INFO  | rint Extender: 3 | BlueprintContainerImpl           | 10 - org.apache.aries.blueprint - 0.3.1 | Bundle org.apache.karaf.features.core is waiting for namespace handlers 
2012-06-20 11:36:12,744 | INFO  | rint Extender: 3 | BlueprintContainerImpl           | 10 - org.apache.aries.blueprint - 0.3.1 | Bundle org.apache.karaf.shell.ssh is waiting for namespace handlers 
2012-06-20 11:36:12,744 | INFO  | rint Extender: 3 | BlueprintContainerImpl           | 10 - org.apache.aries.blueprint - 0.3.1 | Bundle org.apache.karaf.management.server is waiting for namespace handlers 
2012-06-20 11:36:12,801 | INFO  | elixPackageAdmin | core                             | 14 - org.apache.aries.jmx.core - 0.3.0 | Stopping JMX OSGi agent
2012-06-20 11:36:12,801 | INFO  | elixPackageAdmin | core                             | 14 - org.apache.aries.jmx.core - 0.3.0 | Unregistering MBean with ObjectName [osgi.compendium:service=cm,version=1.3] for service with service.id [10]
2012-06-20 11:36:12,821 | INFO  | elixPackageAdmin | Activator                        | 3 - org.ops4j.pax.logging.pax-logging-api - 1.6.5 | Disabling SLF4J API support.
2012-06-20 11:36:12,821 | INFO  | elixPackageAdmin | Activator                        | 3 - org.ops4j.pax.logging.pax-logging-api - 1.6.5 | Disabling Jakarta Commons Logging API support.
2012-06-20 11:36:12,821 | INFO  | elixPackageAdmin | Activator                        | 3 - org.ops4j.pax.logging.pax-logging-api - 1.6.5 | Disabling Log4J API support.
2012-06-20 11:36:12,821 | INFO  | elixPackageAdmin | Activator                        | 3 - org.ops4j.pax.logging.pax-logging-api - 1.6.5 | Disabling Avalon Logger API support.
2012-06-20 11:36:12,821 | INFO  | elixPackageAdmin | Activator                        | 3 - org.ops4j.pax.logging.pax-logging-api - 1.6.5 | Disabling JULI Logger API support.
2012-06-20 11:36:14,100 | INFO  | rint Extender: 3 | BlueprintContainerImpl           | 3 - org.ops4j.pax.logging.pax-logging-api - 1.6.5 | Bundle org.apache.karaf.shell.dev is waiting for namespace handlers 
2012-06-20 11:36:14,100 | INFO  | rint Extender: 1 | BlueprintContainerImpl           | 3 - org.ops4j.pax.logging.pax-logging-api - 1.6.5 | Bundle org.apache.karaf.shell.packages is waiting for namespace handlers 
2012-06-20 11:36:14,118 | INFO  | rint Extender: 3 | BlueprintContainerImpl           | 3 - org.ops4j.pax.logging.pax-logging-api - 1.6.5 | Bundle org.apache.karaf.shell.log is waiting for namespace handlers 
2012-06-20 11:36:14,170 | INFO  | rint Extender: 3 | BlueprintContainerImpl           | 3 - org.ops4j.pax.logging.pax-logging-api - 1.6.5 | Bundle org.apache.karaf.shell.ssh is waiting for namespace handlers 
2012-06-20 11:36:14,240 | INFO  | -karaf-2.2.7/etc | fileinstall                      | 6 - org.apache.felix.fileinstall - 3.2.2 | Installed /opt/apache-karaf-2.2.7/etc/org.apache.karaf.jaas.cfg
2012-06-20 11:36:14,241 | INFO  | -karaf-2.2.7/etc | fileinstall                      | 6 - org.apache.felix.fileinstall - 3.2.2 | Installed /opt/apache-karaf-2.2.7/etc/org.apache.karaf.features.repos.cfg
2012-06-20 11:36:14,242 | INFO  | -karaf-2.2.7/etc | fileinstall                      | 6 - org.apache.felix.fileinstall - 3.2.2 | Installed /opt/apache-karaf-2.2.7/etc/org.apache.karaf.features.cfg
2012-06-20 11:36:14,242 | INFO  | -karaf-2.2.7/etc | fileinstall                      | 6 - org.apache.felix.fileinstall - 3.2.2 | Installed /opt/apache-karaf-2.2.7/etc/org.apache.karaf.log.cfg
2012-06-20 11:36:14,243 | INFO  | -karaf-2.2.7/etc | fileinstall                      | 6 - org.apache.felix.fileinstall - 3.2.2 | Installed /opt/apache-karaf-2.2.7/etc/org.apache.karaf.shell.cfg
2012-06-20 11:36:14,244 | INFO  | -karaf-2.2.7/etc | fileinstall                      | 6 - org.apache.felix.fileinstall - 3.2.2 | Installed /opt/apache-karaf-2.2.7/etc/org.apache.karaf.management.cfg
2012-06-20 11:36:14,281 | INFO  | -karaf-2.2.7/etc | fileinstall                      | 6 - org.apache.felix.fileinstall - 3.2.2 | Installed /opt/apache-karaf-2.2.7/etc/org.ops4j.pax.logging.cfg
2012-06-20 11:36:14,282 | INFO  | -karaf-2.2.7/etc | fileinstall                      | 6 - org.apache.felix.fileinstall - 3.2.2 | Installed /opt/apache-karaf-2.2.7/etc/org.apache.karaf.features.obr.cfg
2012-06-20 11:36:14,293 | INFO  | -karaf-2.2.7/etc | fileinstall                      | 6 - org.apache.felix.fileinstall - 3.2.2 | Installed /opt/apache-karaf-2.2.7/etc/org.ops4j.pax.url.mvn.cfg
2012-06-20 11:36:14,293 | INFO  | -karaf-2.2.7/etc | fileinstall                      | 6 - org.apache.felix.fileinstall - 3.2.2 | Installed /opt/apache-karaf-2.2.7/etc/org.apache.felix.fileinstall-deploy.cfg
2012-06-20 11:36:14,442 | INFO  | rint Extender: 3 | KarArtifactInstaller             | 27 - org.apache.karaf.deployer.kar - 2.2.7 | Karaf archives will be extracted to /opt/apache-karaf-2.2.7/system
2012-06-20 11:36:14,442 | INFO  | rint Extender: 3 | KarArtifactInstaller             | 27 - org.apache.karaf.deployer.kar - 2.2.7 | Timestamps for Karaf archives will be extracted to /opt/apache-karaf-2.2.7/system/.timestamps
2012-06-20 11:36:14,481 | INFO  | JMX OSGi Agent   | core                             | 14 - org.apache.aries.jmx.core - 0.3.0 | Registering org.osgi.jmx.service.cm.ConfigurationAdminMBean to MBeanServer com.sun.jmx.mbeanserver.JmxMBeanServer@330e3816 with name osgi.compendium:service=cm,version=1.3
2012-06-20 11:36:14,481 | INFO  | JMX OSGi Agent   | core                             | 14 - org.apache.aries.jmx.core - 0.3.0 | Registering org.osgi.jmx.framework.BundleStateMBean to MBeanServer com.sun.jmx.mbeanserver.JmxMBeanServer@330e3816 with name osgi.core:type=bundleState,version=1.5
2012-06-20 11:36:14,502 | INFO  | JMX OSGi Agent   | core                             | 14 - org.apache.aries.jmx.core - 0.3.0 | Registering org.osgi.jmx.framework.PackageStateMBean to MBeanServer com.sun.jmx.mbeanserver.JmxMBeanServer@330e3816 with name osgi.core:type=packageState,version=1.5
2012-06-20 11:36:14,502 | INFO  | JMX OSGi Agent   | core                             | 14 - org.apache.aries.jmx.core - 0.3.0 | Registering org.osgi.jmx.framework.FrameworkMBean to MBeanServer com.sun.jmx.mbeanserver.JmxMBeanServer@330e3816 with name osgi.core:type=framework,version=1.5
2012-06-20 11:36:14,502 | INFO  | JMX OSGi Agent   | core                             | 14 - org.apache.aries.jmx.core - 0.3.0 | Registering org.osgi.jmx.framework.ServiceStateMBean to MBeanServer com.sun.jmx.mbeanserver.JmxMBeanServer@330e3816 with name osgi.core:type=serviceState,version=1.5
2012-06-20 11:36:14,827 | ERROR | rint Extender: 1 | RepositoryImpl                   | 21 - org.apache.karaf.features.core - 2.2.7 | Could not load feature repository: Illegal character in opaque part at index 51: mvn:org.apache.karaf.assemblies.features/standard/${karaf-release-version}/xml/features in feature repository mvn:adnet.crm/features/1.0-SNAPSHOT/xml/features
2012-06-20 11:36:14,827 | ERROR | rint Extender: 1 | RepositoryImpl                   | 21 - org.apache.karaf.features.core - 2.2.7 | Could not load feature repository: Illegal character in opaque part at index 37: mvn:org.apache.cxf.karaf/apache-cxf/${cxf-release-version}/xml/features in feature repository mvn:adnet.crm/features/1.0-SNAPSHOT/xml/features
2012-06-20 11:36:15,127 | INFO  | rint Extender: 2 | SecurityUtils                    | 22 - sshd-core - 0.5.0 | BouncyCastle not registered, using the default JCE provider
2012-06-20 11:36:16,645 | WARN  | Thread-33        | BndUtils                         | 1 - org.ops4j.pax.url.wrap - 1.2.8 | Bundle cannot be generated
2012-06-20 11:36:16,953 | WARN  | Thread-34        | BndUtils                         | 1 - org.ops4j.pax.url.wrap - 1.2.8 | Bundle cannot be generated
2012-06-20 11:36:17,317 | WARN  | Thread-35        | BndUtils                         | 1 - org.ops4j.pax.url.wrap - 1.2.8 | Bundle cannot be generated
2012-06-20 11:36:17,717 | WARN  | Thread-36        | BndUtils                         | 1 - org.ops4j.pax.url.wrap - 1.2.8 | Bundle cannot be generated
2012-06-20 11:36:17,975 | WARN  | Thread-37        | BndUtils                         | 1 - org.ops4j.pax.url.wrap - 1.2.8 | Bundle cannot be generated
2012-06-20 11:36:17,996 | WARN  | Thread-38        | BndUtils                         | 1 - org.ops4j.pax.url.wrap - 1.2.8 | Bundle cannot be generated
2012-06-20 11:36:18,005 | WARN  | Thread-39        | BndUtils                         | 1 - org.ops4j.pax.url.wrap - 1.2.8 | Bundle cannot be generated
2012-06-20 11:36:18,089 | WARN  | Thread-40        | BndUtils                         | 1 - org.ops4j.pax.url.wrap - 1.2.8 | Bundle cannot be generated
2012-06-20 11:36:18,117 | WARN  | Thread-41        | BndUtils                         | 1 - org.ops4j.pax.url.wrap - 1.2.8 | Bundle cannot be generated
2012-06-20 11:36:18,149 | WARN  | Thread-42        | BndUtils                         | 1 - org.ops4j.pax.url.wrap - 1.2.8 | Bundle cannot be generated
2012-06-20 11:36:18,289 | WARN  | Thread-43        | BndUtils                         | 1 - org.ops4j.pax.url.wrap - 1.2.8 | Bundle cannot be generated
2012-06-20 11:36:18,416 | WARN  | Thread-44        | BndUtils                         | 1 - org.ops4j.pax.url.wrap - 1.2.8 | Bundle cannot be generated
2012-06-20 11:36:18,481 | WARN  | Thread-45        | BndUtils                         | 1 - org.ops4j.pax.url.wrap - 1.2.8 | Bundle cannot be generated
2012-06-20 11:36:18,585 | WARN  | Thread-46        | BndUtils                         | 1 - org.ops4j.pax.url.wrap - 1.2.8 | Bundle cannot be generated
2012-06-20 11:36:19,229 | WARN  | Thread-47        | BndUtils                         | 1 - org.ops4j.pax.url.wrap - 1.2.8 | Bundle cannot be generated
2012-06-20 11:36:19,650 | WARN  | Thread-48        | BndUtils                         | 1 - org.ops4j.pax.url.wrap - 1.2.8 | Bundle cannot be generated
2012-06-20 11:36:19,853 | WARN  | Thread-49        | BndUtils                         | 1 - org.ops4j.pax.url.wrap - 1.2.8 | Bundle cannot be generated
2012-06-20 11:36:20,101 | INFO  | g.ops4j.pax.web) | Server                           |  -  -  | jetty-7.6.2.v20120308
2012-06-20 11:36:20,228 | INFO  | g.ops4j.pax.web) | JettyServerImpl                  | 96 - org.ops4j.pax.web.pax-web-jetty - 1.1.4 | Pax Web available at [0.0.0.0]:[8080]
2012-06-20 11:36:20,257 | WARN  | Thread-50        | BndUtils                         | 1 - org.ops4j.pax.url.wrap - 1.2.8 | Bundle cannot be generated
2012-06-20 11:36:20,295 | INFO  | g.ops4j.pax.web) | AbstractConnector                |  -  -  | Started NIOSocketConnectorWrapper@0.0.0.0:8080
2012-06-20 11:36:20,299 | INFO  | Thread-4         | Activator                        | 97 - org.ops4j.pax.web.pax-web-runtime - 1.1.4 | Pax Web started
